user_id,active_days,avg_daily_behavior,last_active_time,behavior_span_days,activity_level
397142,26,40.88,2025-12-18 19:00:00,30.5,Medium
413178,14,73.14,2025-12-15 21:00:00,25.96,Medium
414388,24,18.83,2025-12-18 10:00:00,26.79,Medium
418175,28,42.32,2025-12-18 22:00:00,30.38,Medium
429994,23,28.78,2025-12-18 20:00:00,29.0,Medium
432337,22,40.77,2025-12-18 20:00:00,29.29,Medium
450683,14,20.71,2025-12-16 05:00:00,23.42,Medium
475826,31,225.94,2025-12-18 23:00:00,30.38,High
483640,16,31.81,2025-12-18 14:00:00,25.04,Medium
493013,10,20.6,2025-12-18 23:00:00,30.29,Low
497764,28,143.36,2025-12-18 22:00:00,30.5,High
501286,25,41.84,2025-12-18 22:00:00,30.92,Medium
511319,20,22.15,2025-12-18 22:00:00,30.62,Medium
521437,18,28.72,2025-12-17 17:00:00,28.96,Medium
565533,28,38.25,2025-12-18 22:00:00,30.38,Medium
567790,10,5.1,2025-12-17 18:00:00,29.0,Low
568881,11,38.0,2025-12-18 11:00:00,28.0,Medium
595598,24,71.33,2025-12-18 01:00:00,29.5,Medium
608951,25,77.08,2025-12-18 22:00:00,30.62,High
611920,30,54.73,2025-12-18 14:00:00,30.21,Medium
632347,30,82.47,2025-12-18 12:00:00,30.5,High
678552,4,3.5,2025-12-04 11:00:00,11.04,Low
704891,29,40.9,2025-12-18 22:00:00,30.38,Medium
722361,1,8.0,2025-12-08 12:00:00,0.0,Low
742065,20,19.0,2025-12-18 22:00:00,29.42,Medium
754205,29,36.55,2025-12-18 23:00:00,29.71,Medium
764564,18,32.11,2025-12-18 17:00:00,29.83,Medium
783072,3,15.67,2025-12-06 13:00:00,16.12,Low
790713,28,48.89,2025-12-18 19:00:00,30.5,Medium
801018,28,42.36,2025-12-18 20:00:00,30.29,Medium
807106,23,62.0,2025-12-18 21:00:00,22.33,Medium
814199,30,87.37,2025-12-18 23:00:00,30.96,High
819192,11,12.73,2025-12-18 16:00:00,26.75,Low
819791,2,13.5,2025-12-15 16:00:00,1.25,Low
828731,21,110.14,2025-12-16 22:00:00,28.12,High
867381,31,186.9,2025-12-18 21:00:00,30.62,High
876192,27,59.07,2025-12-18 23:00:00,30.71,Medium
908290,3,25.0,2025-12-18 12:00:00,5.71,Low
914729,15,22.73,2025-12-17 09:00:00,28.0,Medium
943095,17,13.18,2025-12-18 08:00:00,26.75,Low
985207,25,32.08,2025-12-18 19:00:00,30.33,Medium
991563,31,78.1,2025-12-18 21:00:00,30.46,High
1019952,29,47.34,2025-12-18 22:00:00,30.38,Medium
1022699,24,65.29,2025-12-17 23:00:00,28.54,Medium
1022919,16,41.56,2025-12-18 21:00:00,24.17,Medium
1030408,29,63.31,2025-12-18 09:00:00,30.08,Medium
1034452,7,11.57,2025-12-17 19:00:00,27.83,Low
1041761,30,92.37,2025-12-18 21:00:00,30.5,High
1050684,25,22.28,2025-12-18 07:00:00,26.71,Medium
1053725,31,58.1,2025-12-18 18:00:00,30.0,Medium
1067578,16,19.06,2025-12-18 14:00:00,29.62,Medium
1074982,18,11.17,2025-12-17 16:00:00,29.0,Low
1081595,14,21.43,2025-12-17 01:00:00,28.25,Medium
1091123,31,78.42,2025-12-18 23:00:00,30.67,High
1105998,14,38.14,2025-12-18 10:00:00,29.88,Medium
1112140,21,23.19,2025-12-18 12:00:00,29.79,Medium
1128409,19,31.0,2025-12-18 18:00:00,27.38,Medium
1128799,5,2.0,2025-12-11 17:00:00,21.92,Low
1137672,30,45.27,2025-12-18 20:00:00,30.62,Medium
1156843,28,83.36,2025-12-18 23:00:00,30.58,High
1160607,31,154.84,2025-12-18 23:00:00,30.46,High
1182380,22,26.14,2025-12-18 19:00:00,29.04,Medium
1183504,30,97.9,2025-12-18 19:00:00,29.42,High
1188241,29,35.83,2025-12-18 15:00:00,29.96,Medium
1206079,18,20.22,2025-12-17 23:00:00,29.58,Medium
1211225,12,32.75,2025-12-16 11:00:00,27.46,Medium
1257131,23,42.96,2025-12-16 15:00:00,28.58,Medium
1259845,24,43.83,2025-12-17 15:00:00,29.62,Medium
1272577,18,29.06,2025-12-18 10:00:00,27.96,Medium
1275653,18,17.94,2025-12-16 14:00:00,26.58,Medium
1334962,14,23.71,2025-12-17 15:00:00,24.79,Medium
1335738,20,21.35,2025-12-18 17:00:00,29.88,Medium
1344672,6,10.0,2025-12-18 23:00:00,12.29,Low
1364464,17,15.06,2025-12-18 21:00:00,30.54,Medium
1365073,6,28.17,2025-12-17 13:00:00,28.83,Low
1399592,22,20.82,2025-12-16 16:00:00,28.58,Medium
1409005,31,41.03,2025-12-18 18:00:00,30.12,Medium
1419642,2,1.5,2025-11-25 11:00:00,1.83,Low
1421162,9,18.22,2025-12-16 22:00:00,27.88,Low
1439794,6,42.67,2025-12-13 18:00:00,22.04,Medium
1485361,22,41.95,2025-12-18 19:00:00,30.42,Medium
1486585,15,48.07,2025-12-14 22:00:00,25.54,Medium
1498131,6,16.33,2025-12-14 19:00:00,26.79,Low
1525511,16,21.5,2025-12-17 17:00:00,28.79,Medium
1532868,14,18.57,2025-12-17 19:00:00,28.96,Medium
1533523,6,9.0,2025-12-17 20:00:00,21.33,Low
1533885,23,17.04,2025-12-18 19:00:00,25.25,Medium
1534718,4,6.5,2025-12-11 21:00:00,10.17,Low
1535240,14,19.21,2025-12-15 22:00:00,25.67,Medium
1553407,13,15.38,2025-12-18 07:00:00,26.62,Low
1588051,10,23.0,2025-12-18 18:00:00,29.29,Low
1588502,4,11.25,2025-12-16 21:00:00,14.21,Low
1593616,21,21.86,2025-12-17 15:00:00,29.17,Medium
1604248,11,95.82,2025-12-18 22:00:00,14.08,Medium
1619789,21,22.9,2025-12-17 18:00:00,28.25,Medium
1652366,7,12.86,2025-12-09 01:00:00,20.83,Low
1666891,13,15.92,2025-12-18 21:00:00,30.79,Low
1673252,26,32.23,2025-12-18 15:00:00,30.08,Medium
1704058,21,32.14,2025-12-18 00:00:00,29.54,Medium
1724469,12,24.0,2025-12-15 16:00:00,26.21,Medium
1725399,21,107.86,2025-12-18 22:00:00,29.25,High
1760140,18,22.22,2025-12-16 21:00:00,26.54,Medium
1769128,25,66.16,2025-12-18 20:00:00,30.38,Medium
1799885,24,44.79,2025-12-18 20:00:00,29.54,Medium
1805148,26,57.92,2025-12-17 19:00:00,28.17,Medium
1805740,26,58.23,2025-12-18 21:00:00,30.04,Medium
1806084,29,41.38,2025-12-18 20:00:00,30.33,Medium
1820303,13,4.77,2025-12-18 00:00:00,28.58,Low
1824572,25,39.68,2025-12-18 16:00:00,29.33,Medium
1825186,16,33.12,2025-12-17 16:00:00,25.46,Medium
1834928,31,60.1,2025-12-18 23:00:00,30.46,High
1857066,27,70.7,2025-12-18 23:00:00,30.96,High
1866742,25,71.72,2025-12-18 12:00:00,30.17,Medium
1897583,28,65.36,2025-12-17 11:00:00,28.62,Medium
1926899,29,217.62,2025-12-18 20:00:00,30.83,High
1944583,16,59.06,2025-12-07 19:00:00,18.92,Medium
1963813,13,48.62,2025-12-16 13:00:00,28.0,Medium
1985644,22,38.73,2025-12-18 20:00:00,26.96,Medium
2003464,30,66.77,2025-12-18 06:00:00,29.67,High
2010204,8,26.75,2025-12-14 20:00:00,15.12,Low
2045844,9,18.56,2025-12-18 11:00:00,14.0,Low
2073744,19,17.11,2025-12-17 15:00:00,29.25,Medium
2077849,5,10.4,2025-12-03 11:00:00,10.71,Low
2079867,28,64.11,2025-12-18 15:00:00,29.75,Medium
2083985,16,15.88,2025-12-18 19:00:00,30.29,Medium
2092395,12,24.75,2025-12-14 14:00:00,19.75,Medium
2097413,31,84.16,2025-12-18 18:00:00,30.5,High
2099277,16,29.56,2025-12-16 21:00:00,28.42,Medium
2103285,24,44.25,2025-12-18 16:00:00,30.62,Medium
2103722,29,52.93,2025-12-18 20:00:00,30.54,Medium
2112922,16,33.38,2025-12-16 16:00:00,27.96,Medium
2120923,20,19.6,2025-12-17 14:00:00,28.42,Medium
2128246,29,56.07,2025-12-18 02:00:00,29.71,Medium
2131753,25,81.16,2025-12-17 10:00:00,28.96,High
2139347,13,17.23,2025-12-18 21:00:00,29.25,Low
2165371,12,22.5,2025-12-16 15:00:00,28.33,Medium
2172795,27,107.78,2025-12-18 21:00:00,30.5,High
2183798,23,44.83,2025-12-18 22:00:00,30.46,Medium
2196875,28,35.93,2025-12-18 23:00:00,29.25,Medium
2227874,29,68.41,2025-12-18 22:00:00,30.71,High
2242451,11,17.82,2025-12-18 22:00:00,29.04,Low
2242773,29,53.14,2025-12-18 07:00:00,28.54,Medium
2256395,12,16.33,2025-12-15 14:00:00,18.75,Low
2267344,28,65.86,2025-12-18 09:00:00,29.96,Medium
2272401,11,14.64,2025-12-18 19:00:00,26.96,Low
2283337,28,50.57,2025-12-18 18:00:00,30.12,Medium
2302002,15,72.07,2025-12-18 08:00:00,25.92,Medium
2319819,29,113.9,2025-12-18 23:00:00,30.88,High
2338844,5,9.6,2025-12-18 18:00:00,23.0,Low
2352151,20,41.4,2025-12-18 22:00:00,23.5,Medium
2357844,24,33.96,2025-12-15 15:00:00,26.71,Medium
2364046,23,88.43,2025-12-18 20:00:00,30.17,High
2364863,20,18.65,2025-12-18 21:00:00,30.54,Medium
2379445,22,27.36,2025-12-18 22:00:00,30.46,Medium
2400099,28,42.0,2025-12-18 23:00:00,30.38,Medium
2489487,26,45.35,2025-12-18 23:00:00,30.12,Medium
2493818,23,39.83,2025-12-18 23:00:00,30.71,Medium
2502524,29,162.03,2025-12-18 23:00:00,30.42,High
2510646,5,8.0,2025-12-04 16:00:00,14.0,Low
2527320,19,36.79,2025-12-16 14:00:00,26.12,Medium
2536588,24,42.96,2025-12-18 21:00:00,30.12,Medium
2557196,14,29.29,2025-12-18 20:00:00,29.0,Medium
2588780,29,52.34,2025-12-18 21:00:00,30.0,Medium
2590763,19,27.32,2025-12-18 20:00:00,30.04,Medium
2622091,29,72.55,2025-12-18 21:00:00,30.79,High
2639819,19,54.0,2025-12-17 18:00:00,26.96,Medium
2675166,17,94.47,2025-12-18 21:00:00,27.04,Medium
2683726,24,36.58,2025-12-18 21:00:00,30.38,Medium
2686606,18,108.67,2025-12-18 23:00:00,17.42,High
2695854,22,52.5,2025-12-18 23:00:00,26.0,Medium
2696208,12,9.5,2025-12-17 12:00:00,21.79,Low
2720721,30,174.93,2025-12-18 23:00:00,30.62,High
2742560,30,85.63,2025-12-18 23:00:00,30.08,High
2745737,19,60.58,2025-12-18 21:00:00,27.88,Medium
2751701,14,120.86,2025-12-18 22:00:00,16.04,Medium
2763135,7,19.29,2025-12-18 09:00:00,5.62,Low
2803672,15,17.53,2025-12-14 22:00:00,26.21,Medium
2814416,31,33.19,2025-12-18 19:00:00,30.54,Medium
2820961,30,86.3,2025-12-18 22:00:00,30.33,High
2839379,27,14.11,2025-12-18 12:00:00,30.08,Medium
2845412,25,25.28,2025-12-18 20:00:00,28.96,Medium
2870275,19,42.37,2025-12-18 19:00:00,29.46,Medium
2883429,17,20.65,2025-12-12 15:00:00,20.71,Medium
2887948,14,14.79,2025-12-16 16:00:00,24.75,Low
2896763,23,17.22,2025-12-18 15:00:00,30.25,Medium
2910556,29,46.66,2025-12-18 20:00:00,30.17,Medium
2913602,30,51.13,2025-12-18 17:00:00,30.33,Medium
2934039,21,25.1,2025-12-17 20:00:00,29.38,Medium
2935703,30,60.67,2025-12-18 20:00:00,30.54,Medium
2950136,24,44.12,2025-12-18 15:00:00,30.33,Medium
2952532,25,85.72,2025-12-18 21:00:00,30.12,High
2967122,30,27.7,2025-12-18 17:00:00,30.67,Medium
2989110,28,35.5,2025-12-18 23:00:00,30.04,Medium
3016266,29,49.52,2025-12-18 20:00:00,28.96,Medium
3063448,29,93.0,2025-12-18 22:00:00,30.75,High
3065306,29,110.79,2025-12-18 15:00:00,30.33,High
3066501,13,29.23,2025-12-06 23:00:00,16.17,Medium
3089923,17,37.53,2025-12-18 22:00:00,30.58,Medium
3141769,25,27.12,2025-12-18 21:00:00,29.38,Medium
3141933,22,31.73,2025-12-17 20:00:00,29.58,Medium
3162324,16,35.19,2025-12-18 22:00:00,27.33,Medium
3166978,26,43.65,2025-12-18 17:00:00,29.92,Medium
3190957,21,34.86,2025-12-18 23:00:00,22.42,Medium
3191339,15,10.53,2025-12-17 13:00:00,25.75,Low
3192805,14,23.79,2025-12-14 00:00:00,22.58,Medium
3207324,7,16.29,2025-12-15 23:00:00,17.08,Low
3227231,25,82.88,2025-12-12 07:00:00,24.08,High
3233000,19,19.26,2025-12-18 11:00:00,25.62,Medium
3240412,26,29.73,2025-12-18 19:00:00,30.29,Medium
3282021,28,268.0,2025-12-18 22:00:00,30.62,High
3304327,24,102.92,2025-12-18 07:00:00,27.38,High
3318666,31,273.23,2025-12-18 20:00:00,30.83,High
3324323,16,27.94,2025-12-17 15:00:00,29.62,Medium
3328558,30,88.9,2025-12-18 22:00:00,30.54,High
3350428,22,36.95,2025-12-18 22:00:00,30.21,Medium
3375066,21,16.29,2025-12-18 15:00:00,30.12,Medium
3378138,26,46.0,2025-12-18 19:00:00,30.5,Medium
3380259,25,24.64,2025-12-18 21:00:00,30.58,Medium
3384843,16,53.0,2025-12-14 20:00:00,22.25,Medium
3395807,17,17.82,2025-12-18 17:00:00,29.75,Medium
3421308,1,5.0,2025-12-05 13:00:00,0.0,Low
3423779,11,13.45,2025-12-14 07:00:00,11.96,Low
3442818,31,188.32,2025-12-18 23:00:00,30.96,High
3447448,2,35.0,2025-12-18 17:00:00,0.88,Low
3460631,26,21.23,2025-12-15 00:00:00,25.67,Medium
3466367,22,66.09,2025-12-18 15:00:00,23.54,Medium
3468674,9,7.44,2025-12-16 16:00:00,25.83,Low
3482403,23,23.09,2025-12-18 20:00:00,29.88,Medium
3495324,20,32.0,2025-12-18 16:00:00,30.21,Medium
3508821,19,41.79,2025-12-18 17:00:00,28.96,Medium
3512329,30,104.93,2025-12-18 23:00:00,30.58,High
3519280,18,84.06,2025-12-18 19:00:00,27.21,Medium
3543407,23,92.0,2025-12-18 21:00:00,30.17,High
3566914,26,64.15,2025-12-18 23:00:00,30.04,Medium
3567524,12,23.92,2025-12-17 17:00:00,25.08,Medium
3569244,31,46.16,2025-12-18 18:00:00,30.46,Medium
3569918,15,10.47,2025-12-18 21:00:00,25.54,Low
3577313,20,20.95,2025-12-12 19:00:00,24.29,Medium
3578206,31,193.03,2025-12-18 21:00:00,30.58,High
3607854,28,84.64,2025-12-18 23:00:00,29.0,High
3631290,19,20.89,2025-12-15 11:00:00,26.54,Medium
3632278,26,44.96,2025-12-18 21:00:00,30.17,Medium
3662776,28,50.68,2025-12-18 22:00:00,30.08,Medium
3671315,31,123.26,2025-12-18 23:00:00,30.96,High
3671520,26,55.42,2025-12-16 19:00:00,28.79,Medium
3694961,31,313.61,2025-12-18 23:00:00,30.12,High
3695398,26,76.88,2025-12-18 19:00:00,30.33,High
3709994,28,49.57,2025-12-18 22:00:00,29.04,Medium
3712578,31,50.0,2025-12-18 17:00:00,30.25,Medium
3714513,25,42.48,2025-12-18 17:00:00,27.88,Medium
3731463,28,144.75,2025-12-18 21:00:00,30.33,High
3763394,18,14.83,2025-12-18 12:00:00,30.08,Medium
3789630,17,25.76,2025-12-18 14:00:00,30.21,Medium
3791755,15,22.8,2025-12-18 21:00:00,30.67,Medium
3792677,27,30.59,2025-12-18 22:00:00,30.92,Medium
3796254,13,17.85,2025-12-18 10:00:00,28.96,Low
3808025,3,36.33,2025-12-15 15:00:00,2.21,Low
3830694,27,42.11,2025-12-18 19:00:00,29.75,Medium
3840121,31,106.97,2025-12-18 23:00:00,30.46,High
3849356,12,4.83,2025-12-18 11:00:00,29.54,Low
3864501,9,20.22,2025-12-18 23:00:00,27.62,Low
3878869,28,30.71,2025-12-18 20:00:00,30.83,Medium
3880359,13,12.54,2025-12-16 13:00:00,23.71,Low
3914310,13,29.62,2025-12-18 09:00:00,30.33,Medium
3919761,14,22.86,2025-12-18 13:00:00,25.96,Medium
3927253,16,40.75,2025-12-18 18:00:00,18.96,Medium
3945782,27,33.59,2025-12-18 21:00:00,30.38,Medium
3965819,12,12.25,2025-12-16 22:00:00,21.38,Low
3987745,16,32.25,2025-12-18 07:00:00,24.38,Medium
4053567,31,92.65,2025-12-18 20:00:00,30.58,High
4060646,13,74.54,2025-12-18 15:00:00,30.17,Medium
4076820,23,26.22,2025-12-18 19:00:00,30.12,Medium
4077888,25,39.4,2025-12-18 12:00:00,28.12,Medium
4082863,22,82.14,2025-12-17 23:00:00,29.58,Medium
4088842,17,38.94,2025-12-17 23:00:00,29.0,Medium
4095217,25,46.8,2025-12-18 12:00:00,30.0,Medium
4102557,31,88.06,2025-12-18 20:00:00,30.46,High
4102766,7,9.29,2025-12-12 09:00:00,16.58,Low
4110055,16,45.62,2025-12-18 16:00:00,23.12,Medium
4110672,25,132.08,2025-12-16 14:00:00,28.38,High
4120403,31,120.1,2025-12-18 21:00:00,30.54,High
4120881,3,13.0,2025-12-10 17:00:00,7.08,Low
4137745,31,120.13,2025-12-18 21:00:00,30.83,High
4140926,17,57.0,2025-12-17 18:00:00,29.0,Medium
4146900,31,128.9,2025-12-18 23:00:00,30.0,High
4164164,13,32.38,2025-12-18 15:00:00,22.92,Medium
4164359,20,77.6,2025-12-15 20:00:00,27.21,Medium
4174826,24,32.54,2025-12-18 22:00:00,30.92,Medium
4186010,30,32.2,2025-12-18 20:00:00,30.71,Medium
4195964,31,58.77,2025-12-18 21:00:00,30.38,Medium
4225412,30,162.4,2025-12-18 21:00:00,30.42,High
4231989,27,42.96,2025-12-18 16:00:00,30.0,Medium
4232880,16,38.75,2025-12-09 14:00:00,21.04,Medium
4261260,20,76.35,2025-12-17 12:00:00,28.08,Medium
4271718,27,60.33,2025-12-18 21:00:00,30.58,Medium
4283186,10,33.2,2025-12-17 21:00:00,25.42,Medium
4286657,25,47.76,2025-12-18 18:00:00,27.96,Medium
4338344,30,56.3,2025-12-18 22:00:00,30.92,Medium
4346474,3,20.0,2025-12-14 15:00:00,3.75,Low
4361577,31,188.71,2025-12-18 20:00:00,30.83,High
4364079,30,241.37,2025-12-18 22:00:00,30.62,High
4374427,17,42.53,2025-12-17 12:00:00,28.58,Medium
4381858,23,42.22,2025-12-18 09:00:00,29.96,Medium
4387844,23,33.3,2025-12-18 00:00:00,29.58,Medium
4445837,22,23.36,2025-12-17 12:00:00,29.0,Medium
4496414,28,17.32,2025-12-18 22:00:00,30.62,Medium
4499782,4,7.5,2025-12-02 13:00:00,3.88,Low
4524349,28,49.89,2025-12-18 18:00:00,30.04,Medium
4561993,25,80.24,2025-12-18 23:00:00,30.71,High
4567220,11,29.82,2025-12-18 22:00:00,30.17,Medium
4573013,28,43.64,2025-12-17 22:00:00,29.58,Medium
4579794,30,77.13,2025-12-18 23:00:00,29.29,High
4597166,15,16.07,2025-12-18 09:00:00,25.42,Low
4642457,23,35.78,2025-12-18 21:00:00,30.04,Medium
4644312,12,8.08,2025-12-10 16:00:00,21.04,Low
4688795,8,10.62,2025-12-15 15:00:00,27.0,Low
4710740,17,20.76,2025-12-16 23:00:00,26.96,Medium
4716732,19,25.21,2025-12-18 20:00:00,23.96,Medium
4725269,27,169.63,2025-12-18 22:00:00,30.42,High
4729352,16,26.0,2025-12-12 20:00:00,24.38,Medium
4741469,4,19.0,2025-12-15 17:00:00,9.88,Low
4742459,20,62.3,2025-12-10 22:00:00,22.46,Medium
4744483,24,43.62,2025-12-18 19:00:00,30.42,Medium
4752206,29,32.59,2025-12-18 15:00:00,30.33,Medium
4755159,12,18.67,2025-12-18 19:00:00,28.96,Low
4763932,15,21.07,2025-12-16 22:00:00,27.5,Medium
4772544,13,17.31,2025-12-09 23:00:00,21.08,Low
4780516,9,18.22,2025-12-17 23:00:00,26.38,Low
4790160,13,25.46,2025-12-15 19:00:00,25.96,Medium
4839432,27,51.56,2025-12-18 22:00:00,30.67,Medium
4839533,23,41.26,2025-12-18 16:00:00,29.21,Medium
4839961,12,87.67,2025-12-13 21:00:00,25.38,Medium
4869558,21,27.86,2025-12-18 21:00:00,30.17,Medium
4903043,31,99.0,2025-12-18 17:00:00,30.71,High
4917287,11,16.09,2025-12-18 10:00:00,27.75,Low
4919496,5,21.8,2025-12-05 13:00:00,11.88,Low
4921070,16,10.56,2025-12-17 09:00:00,28.92,Low
4922072,20,18.45,2025-12-17 13:00:00,29.08,Medium
4960300,25,47.44,2025-12-18 22:00:00,29.67,Medium
4977592,31,60.16,2025-12-18 23:00:00,30.25,High
4979200,25,44.0,2025-12-18 23:00:00,30.96,Medium
5020210,23,61.96,2025-12-17 19:00:00,29.21,Medium
5028667,23,38.61,2025-12-18 13:00:00,30.17,Medium
5051617,19,43.89,2025-12-18 08:00:00,21.42,Medium
5057199,23,50.52,2025-12-18 21:00:00,29.96,Medium
5066694,27,53.78,2025-12-18 09:00:00,30.38,Medium
5091068,22,34.95,2025-12-17 21:00:00,26.04,Medium
5125563,6,8.17,2025-12-18 20:00:00,20.96,Low
5137598,25,54.12,2025-12-18 23:00:00,30.67,Medium
5141057,16,16.12,2025-12-17 20:00:00,29.46,Medium
5154444,26,47.15,2025-12-18 21:00:00,30.62,Medium
5159022,17,82.88,2025-12-18 19:00:00,27.12,Medium
5179507,12,17.42,2025-12-15 23:00:00,27.58,Low
5187945,1,14.0,2025-12-11 19:00:00,0.0,Low
5189513,30,57.93,2025-12-18 22:00:00,30.42,Medium
5196815,11,33.55,2025-12-18 22:00:00,30.29,Medium
5201714,19,131.21,2025-12-18 17:00:00,28.33,High
5223307,28,33.0,2025-12-18 15:00:00,29.0,Medium
5236221,20,50.3,2025-12-18 21:00:00,20.92,Medium
5240052,6,6.17,2025-12-13 14:00:00,24.88,Low
5250412,29,53.07,2025-12-18 12:00:00,30.0,Medium
5255076,8,11.88,2025-12-16 15:00:00,25.83,Low
5287432,9,14.78,2025-12-05 13:00:00,16.92,Low
5307517,19,30.68,2025-12-17 11:00:00,28.67,Medium
5315279,27,458.78,2025-12-18 23:00:00,30.71,High
5358079,29,66.79,2025-12-18 18:00:00,30.17,High
5392788,7,9.57,2025-12-17 16:00:00,26.83,Low
5396057,30,71.93,2025-12-18 19:00:00,30.46,High
5412158,20,10.05,2025-12-17 18:00:00,29.42,Low
5424550,31,134.81,2025-12-18 20:00:00,29.96,High
5440164,13,17.08,2025-12-18 20:00:00,28.12,Low
5451259,11,13.45,2025-12-13 19:00:00,20.42,Low
5460550,29,56.55,2025-12-18 22:00:00,30.79,Medium
5466222,23,37.87,2025-12-17 10:00:00,27.08,Medium
5467215,27,34.56,2025-12-17 20:00:00,25.96,Medium
5478302,30,158.0,2025-12-18 22:00:00,30.21,High
5481789,22,30.32,2025-12-17 22:00:00,29.12,Medium
5483686,2,20.5,2025-12-16 11:00:00,0.62,Low
5485673,22,41.23,2025-12-18 23:00:00,27.0,Medium
5586064,25,44.6,2025-12-18 18:00:00,30.46,Medium
5616094,21,19.95,2025-12-18 22:00:00,30.21,Medium
5624123,19,28.37,2025-12-18 13:00:00,30.17,Medium
5626464,11,54.73,2025-12-17 23:00:00,24.08,Medium
5680285,16,22.12,2025-12-15 03:00:00,24.88,Medium
5686843,30,57.4,2025-12-18 22:00:00,30.25,Medium
5694160,26,173.23,2025-12-18 23:00:00,30.58,High
5698511,30,102.73,2025-12-18 21:00:00,30.62,High
5699616,6,9.33,2025-12-18 20:00:00,29.04,Low
5710300,22,19.0,2025-12-18 23:00:00,29.33,Medium
5719706,1,3.0,2025-12-16 19:00:00,0.0,Low
5740730,26,30.27,2025-12-17 22:00:00,29.71,Medium
5778458,23,83.52,2025-12-18 14:00:00,29.83,High
5786548,17,25.65,2025-12-17 19:00:00,29.54,Medium
5786807,19,61.89,2025-12-18 21:00:00,24.62,Medium
5798831,14,24.07,2025-12-18 18:00:00,29.83,Medium
5803579,8,9.12,2025-12-16 20:00:00,28.12,Low
5837961,31,127.13,2025-12-18 23:00:00,30.96,High
5838287,22,24.23,2025-12-18 21:00:00,29.21,Medium
5860001,31,115.71,2025-12-18 21:00:00,30.75,High
5865371,26,25.62,2025-12-18 11:00:00,29.58,Medium
5875750,27,61.67,2025-12-18 19:00:00,30.04,Medium
5938241,31,142.71,2025-12-18 23:00:00,30.96,High
5942869,25,57.4,2025-12-18 20:00:00,30.12,Medium
5950556,30,102.57,2025-12-18 21:00:00,29.62,High
6014239,6,89.83,2025-12-15 21:00:00,12.25,Medium
6015031,26,76.35,2025-12-17 08:00:00,28.46,High
6018416,28,58.21,2025-12-17 21:00:00,29.5,Medium
6038861,22,23.09,2025-12-18 21:00:00,30.08,Medium
6049053,29,79.41,2025-12-18 16:00:00,29.92,High
6062947,9,42.0,2025-12-18 22:00:00,8.54,Medium
6064746,27,36.22,2025-12-18 21:00:00,30.42,Medium
6068352,19,19.05,2025-12-18 11:00:00,26.0,Medium
6071666,17,41.94,2025-12-18 23:00:00,30.54,Medium
6079735,19,35.05,2025-12-18 20:00:00,30.38,Medium
6101177,31,196.68,2025-12-18 21:00:00,30.71,High
6142132,6,6.33,2025-12-16 19:00:00,27.96,Low
6146353,29,34.1,2025-12-18 23:00:00,30.67,Medium
6163885,26,23.0,2025-12-18 13:00:00,30.04,Medium
6177572,10,164.2,2025-12-18 23:00:00,10.58,Medium
6212208,31,55.68,2025-12-18 17:00:00,30.33,Medium
6222588,26,81.73,2025-12-18 15:00:00,30.12,High
6228124,22,23.36,2025-12-18 21:00:00,29.21,Medium
