user_id,recent_5_actions,avg_recent_5_interval_min,pv_to_fav_count,pv_to_cart_count,pv_to_buy_count,has_behavior_chain
1022699,pv|pv|pv|pv|pv,0.0,0,10,17,1
1022919,cart|pv|pv|pv|pv,345.0,2,10,3,0
1030408,pv|pv|pv|pv|pv,0.0,0,67,7,1
1034452,pv|pv|pv|fav|pv,0.0,5,0,0,0
1041761,pv|pv|fav|pv|pv,0.0,28,2,6,0
1050684,pv|pv|pv|pv|pv,150.0,0,26,5,1
1053725,pv|pv|pv|pv|pv,15.0,1,99,7,0
1067578,pv|pv|pv|pv|pv,0.0,1,1,5,0
1074982,pv|pv|pv|pv|pv,255.0,3,4,0,0
1081595,pv|pv|pv|pv|pv,0.0,0,0,1,0
1091123,pv|pv|pv|pv|pv,30.0,86,15,16,1
1105998,pv|pv|pv|pv|pv,885.0,6,0,2,0
1112140,pv|pv|pv|pv|pv,345.0,0,0,2,0
1128409,cart|pv|pv|pv|pv,15.0,0,25,10,1
1128799,pv|pv|pv|pv|pv,630.0,0,0,0,0
1137672,pv|pv|pv|pv|pv,30.0,1,28,16,1
1156843,pv|pv|pv|pv|pv,0.0,0,88,8,1
1160607,pv|pv|pv|cart|pv,0.0,5,124,42,1
1182380,pv|pv|pv|pv|pv,0.0,1,5,7,1
1183504,pv|pv|pv|fav|pv,0.0,102,94,27,1
1188241,pv|pv|pv|pv|pv,15.0,1,40,20,1
1206079,pv|pv|pv|pv|pv,0.0,0,16,9,1
1211225,pv|pv|pv|buy|pv,0.0,2,5,7,0
1257131,pv|pv|pv|pv|pv,285.0,18,23,12,1
1259845,pv|pv|pv|pv|pv,270.0,0,33,14,1
1272577,pv|pv|pv|pv|pv,30.0,0,1,6,0
1275653,pv|pv|pv|pv|pv,15.0,9,2,7,0
1334962,pv|pv|pv|pv|pv,15.0,2,3,6,1
1335738,pv|pv|pv|pv|pv,285.0,1,3,0,0
1344672,pv|pv|pv|pv|pv,0.0,0,0,0,0
1364464,pv|pv|pv|pv|pv,30.0,0,4,2,0
1365073,pv|pv|pv|pv|pv,0.0,0,10,0,0
1399592,pv|pv|pv|pv|pv,0.0,12,6,3,0
1409005,pv|cart|pv|pv|pv,0.0,1,64,18,1
1419642,pv|pv|pv,1320.0,0,0,0,0
1421162,pv|pv|pv|pv|pv,450.0,4,2,1,1
1439794,pv|pv|pv|pv|pv,0.0,2,1,4,1
1485361,pv|pv|pv|pv|pv,30.0,27,6,11,1
1486585,pv|pv|pv|pv|pv,0.0,11,15,4,1
1498131,pv|pv|pv|pv|pv,1005.0,1,0,1,0
1525511,pv|pv|pv|pv|pv,0.0,1,1,0,0
1532868,pv|pv|pv|pv|pv,0.0,0,6,9,0
1533523,pv|pv|pv|pv|pv,0.0,0,0,0,0
1533885,pv|pv|pv|pv|pv,30.0,0,7,3,1
1534718,pv|pv|pv|pv|pv,1140.0,0,0,0,0
1535240,pv|pv|pv|pv|pv,915.0,0,8,1,0
1553407,pv|pv|pv|pv|pv,225.0,2,6,1,0
1588051,pv|pv|pv|pv|pv,0.0,5,3,0,0
1588502,pv|pv|pv|buy|pv,3405.0,0,0,3,0
1593616,pv|pv|pv|pv|pv,420.0,0,3,3,1
1604248,pv|pv|pv|pv|pv,0.0,1,14,0,0
1619789,pv|cart|buy|pv|pv,540.0,0,17,3,1
1652366,pv|pv|pv|pv|pv,1215.0,3,1,0,0
1666891,pv|buy|pv|pv|pv,120.0,3,1,2,0
1673252,pv|pv|pv|pv|pv,0.0,0,17,10,0
1704058,pv|pv|pv|pv|pv,0.0,3,15,4,0
1724469,pv|pv|pv|pv|pv,15.0,0,2,1,0
1725399,pv|pv|pv|pv|pv,0.0,15,18,30,1
1760140,pv|pv|pv|pv|pv,0.0,0,11,1,0
1769128,pv|pv|pv|pv|pv,0.0,2,62,9,1
1799885,pv|pv|pv|pv|pv,0.0,0,1,7,0
1805148,pv|pv|pv|cart|pv,0.0,0,30,6,1
1805740,pv|pv|pv|pv|pv,0.0,3,49,20,1
1806084,pv|pv|pv|pv|pv,0.0,74,46,4,1
1820303,pv|pv|pv|pv|pv,1245.0,0,0,1,0
1824572,pv|pv|pv|pv|pv,390.0,30,40,11,1
1825186,pv|pv|pv|pv|pv,0.0,1,24,8,1
1834928,pv|pv|pv|pv|pv,0.0,1,37,22,1
1857066,pv|pv|pv|pv|pv,0.0,28,45,33,1
1866742,pv|pv|pv|pv|pv,285.0,4,80,7,0
1897583,pv|pv|pv|pv|pv,0.0,50,0,2,0
1926899,pv|pv|pv|pv|pv,0.0,18,292,75,1
1944583,pv|pv|pv|pv|pv,0.0,0,18,4,0
1963813,pv|pv|pv|pv|pv,0.0,3,7,7,1
1985644,pv|pv|pv|pv|pv,525.0,16,1,8,1
2003464,pv|pv|pv|pv|pv,675.0,0,23,16,0
2010204,pv|pv|pv|pv|pv,735.0,6,0,3,0
2045844,buy|pv|buy|pv|pv,1095.0,0,4,6,0
2073744,pv|pv|pv|pv|pv,0.0,2,0,0,0
2077849,pv|pv|pv|pv|pv,1005.0,0,3,1,1
2079867,pv|pv|pv|pv|pv,0.0,57,62,18,1
2083985,pv|pv|pv|pv|pv,90.0,2,4,2,0
2092395,pv|pv|pv|pv|pv,270.0,0,19,1,0
2097413,pv|pv|pv|pv|pv,0.0,13,74,10,0
2099277,pv|pv|pv|pv|pv,15.0,0,24,2,0
2103285,pv|pv|pv|pv|pv,0.0,1,25,10,0
2103722,pv|pv|pv|pv|pv,0.0,0,53,7,0
2112922,pv|pv|pv|pv|pv,390.0,23,2,1,0
2120923,pv|pv|pv|pv|pv,0.0,0,20,8,0
2128246,pv|pv|pv|pv|pv,0.0,8,11,11,0
2131753,pv|pv|pv|pv|pv,165.0,0,82,14,1
2139347,pv|pv|pv|pv|pv,0.0,0,2,1,0
2165371,pv|pv|pv|pv|pv,15.0,0,16,4,1
2172795,pv|pv|pv|pv|pv,0.0,0,23,18,1
2183798,pv|pv|pv|pv|pv,0.0,0,25,4,0
2196875,pv|pv|pv|pv|pv,0.0,12,4,3,0
2227874,pv|pv|pv|pv|fav,0.0,44,5,8,1
2242451,pv|pv|pv|pv|pv,75.0,0,8,0,0
2242773,pv|pv|pv|pv|pv,360.0,1,24,8,1
2256395,pv|pv|pv|pv|pv,285.0,0,7,5,0
2267344,pv|pv|pv|pv|pv,0.0,1,81,10,1
2272401,pv|pv|pv|pv|pv,0.0,0,5,1,0
2283337,pv|pv|pv|pv|pv,0.0,35,29,24,1
2302002,pv|pv|pv|pv|pv,165.0,47,10,34,1
2319819,pv|pv|pv|pv|pv,0.0,2,164,15,1
2338844,pv|pv|pv|pv|pv,1755.0,0,1,1,0
2352151,pv|pv|pv|pv|pv,0.0,46,0,4,0
2357844,pv|pv|fav|pv|pv,0.0,39,20,8,1
2364046,pv|pv|pv|pv|pv,0.0,1,77,13,1
2364863,pv|pv|pv|pv|pv,0.0,0,3,2,0
2379445,pv|pv|pv|pv|pv,0.0,2,4,9,0
2400099,pv|pv|buy|pv|pv,15.0,5,6,16,0
2489487,pv|pv|pv|pv|fav,0.0,50,0,6,0
2493818,pv|pv|pv|pv|pv,0.0,0,19,9,0
2502524,pv|pv|pv|pv|pv,0.0,2,65,4,0
2510646,pv|pv|pv|pv|pv,1845.0,0,0,0,0
2527320,pv|pv|pv|pv|pv,255.0,10,1,1,0
2536588,pv|pv|buy|cart|pv,0.0,2,40,12,1
2557196,pv|pv|pv|pv|pv,0.0,1,5,2,1
2588780,pv|pv|pv|pv|pv,15.0,1,18,9,0
2590763,pv|fav|pv|fav|pv,0.0,48,1,1,0
2622091,fav|pv|pv|pv|pv,0.0,39,6,8,0
2639819,pv|pv|pv|pv|pv,0.0,31,0,2,0
2675166,pv|pv|pv|pv|pv,0.0,0,31,0,0
2683726,pv|fav|fav|fav|pv,0.0,78,8,4,1
2686606,pv|pv|pv|pv|pv,0.0,51,20,9,1
2695854,pv|pv|pv|pv|pv,90.0,90,9,17,1
2696208,pv|pv|pv|pv|pv,0.0,0,0,1,0
2720721,pv|pv|pv|pv|pv,0.0,6,5,19,0
2742560,pv|pv|pv|pv|pv,0.0,4,37,27,1
2745737,pv|pv|pv|pv|pv,15.0,0,55,10,1
2751701,pv|pv|pv|pv|pv,0.0,17,4,1,1
2763135,pv|pv|pv|pv|pv,0.0,0,0,2,0
2803672,pv|pv|pv|pv|pv,0.0,0,2,0,0
2814416,pv|pv|pv|pv|pv,90.0,34,7,7,1
2820961,pv|pv|pv|pv|pv,60.0,22,26,21,0
2839379,pv|pv|pv|pv|fav,60.0,7,3,2,0
2845412,pv|pv|pv|pv|pv,120.0,3,5,3,1
2870275,pv|pv|pv|pv|pv,0.0,2,1,5,0
2883429,pv|pv|pv|pv|pv,60.0,0,4,0,0
2887948,pv|pv|pv|pv|pv,0.0,0,1,1,1
2896763,pv|pv|pv|cart|pv,0.0,0,9,1,0
2910556,pv|pv|pv|pv|pv,0.0,0,112,19,1
2913602,pv|pv|pv|pv|pv,0.0,2,63,17,1
2934039,pv|pv|pv|pv|pv,75.0,3,3,5,0
2935703,pv|pv|pv|pv|pv,195.0,2,13,14,1
2950136,pv|pv|pv|pv|pv,15.0,49,45,14,1
2952532,pv|pv|pv|pv|pv,0.0,63,7,14,1
2967122,pv|pv|pv|pv|pv,0.0,0,19,6,0
2989110,pv|pv|pv|pv|pv,0.0,2,39,11,0
3016266,pv|pv|pv|pv|pv,15.0,0,37,8,0
3063448,pv|pv|buy|pv|buy,0.0,4,67,17,1
3065306,fav|fav|pv|pv|cart,0.0,231,111,4,1
3066501,fav|pv|pv|pv|pv,0.0,31,1,0,0
3089923,pv|pv|fav|pv|pv,210.0,4,3,1,1
3141769,pv|pv|cart|cart|buy,15.0,0,26,5,1
3141933,pv|pv|pv|pv|pv,0.0,1,7,6,0
3162324,pv|pv|pv|pv|pv,0.0,1,19,5,1
3166978,pv|pv|pv|buy|pv,0.0,1,81,28,1
3190957,pv|pv|pv|pv|pv,15.0,0,3,4,0
3191339,pv|pv|pv|pv|pv,1635.0,0,0,0,0
3192805,pv|pv|pv|pv|pv,765.0,7,13,5,1
3207324,pv|pv|pv|pv|pv,0.0,4,0,0,0
3227231,pv|pv|pv|cart|pv,60.0,1,93,19,1
3233000,pv|pv|pv|pv|buy,15.0,0,1,5,0
3240412,pv|pv|pv|pv|pv,15.0,0,9,1,0
3282021,pv|pv|pv|pv|pv,0.0,169,221,21,1
3304327,pv|pv|buy|pv|pv,0.0,3,142,12,1
3318666,pv|pv|pv|pv|pv,60.0,536,78,27,1
3324323,pv|pv|pv|pv|pv,675.0,0,3,2,0
3328558,pv|pv|pv|pv|pv,0.0,51,93,10,1
3350428,pv|pv|pv|pv|pv,0.0,17,10,3,1
3375066,pv|pv|pv|pv|buy,0.0,0,6,14,0
3378138,pv|pv|pv|pv|pv,0.0,3,0,0,0
3380259,pv|pv|pv|pv|pv,0.0,11,0,10,0
3384843,pv|pv|pv|pv|pv,0.0,35,3,6,0
3395807,pv|pv|pv|pv|pv,0.0,0,0,0,0
3421308,pv|pv|pv|pv|pv,0.0,0,0,0,0
3423779,pv|pv|pv|pv|pv,0.0,1,9,7,1
3442818,pv|pv|pv|pv|pv,15.0,167,128,34,1
3447448,pv|pv|pv|buy|cart,195.0,0,3,1,0
3460631,pv|pv|pv|pv|pv,0.0,0,13,19,1
3466367,pv|pv|pv|pv|pv,0.0,46,9,2,0
3468674,buy|cart|pv|pv|pv,1365.0,0,1,3,0
3482403,pv|pv|pv|pv|pv,0.0,3,11,7,1
3495324,pv|pv|pv|pv|pv,0.0,0,9,1,0
3508821,pv|pv|pv|pv|pv,0.0,5,3,9,1
3512329,pv|pv|pv|fav|fav,0.0,100,15,10,0
3519280,pv|pv|pv|pv|pv,75.0,13,57,16,1
3543407,fav|pv|pv|fav|pv,0.0,93,15,2,1
3566914,pv|pv|pv|pv|pv,0.0,0,47,16,1
3567524,pv|pv|pv|pv|pv,15.0,5,0,0,0
3569244,pv|pv|pv|pv|pv,105.0,1,10,3,0
3569918,buy|pv|pv|pv|pv,435.0,0,6,2,0
3577313,pv|pv|pv|pv|pv,480.0,14,3,6,0
3578206,pv|pv|pv|pv|pv,0.0,78,2,10,1
3607854,pv|pv|pv|pv|pv,0.0,59,80,26,1
3631290,pv|pv|pv|pv|pv,0.0,8,4,4,0
3632278,pv|pv|pv|pv|pv,390.0,1,8,13,0
3662776,pv|pv|pv|pv|pv,0.0,15,0,30,1
3671315,pv|pv|pv|cart|pv,0.0,15,246,44,1
3671520,pv|pv|pv|pv|pv,0.0,3,73,15,1
3694961,pv|pv|pv|pv|pv,0.0,3,146,59,1
3695398,pv|pv|pv|pv|pv,0.0,93,0,9,1
3709994,pv|pv|fav|pv|pv,465.0,50,5,4,1
3712578,pv|pv|pv|pv|pv,360.0,1,44,12,0
3714513,pv|pv|pv|pv|pv,0.0,23,4,5,1
3731463,pv|pv|pv|pv|pv,15.0,1,49,10,0
3763394,pv|pv|pv|pv|pv,1830.0,0,9,8,0
3789630,pv|pv|buy|pv|pv,0.0,0,9,2,0
3791755,pv|pv|pv|pv|pv,0.0,0,0,0,0
3792677,pv|pv|pv|pv|pv,0.0,0,30,11,1
3796254,pv|pv|pv|pv|pv,2085.0,0,4,4,0
3808025,pv|pv|pv|pv|pv,0.0,0,0,0,0
3830694,pv|pv|pv|pv|pv,0.0,10,69,21,1
3840121,cart|pv|pv|pv|pv,0.0,4,214,33,1
3849356,pv|pv|pv|pv|pv,330.0,0,0,0,0
3864501,pv|fav|pv|pv|fav,0.0,16,1,2,0
3878869,pv|pv|pv|pv|pv,15.0,3,6,6,0
3880359,pv|pv|pv|pv|pv,0.0,1,6,1,0
3914310,pv|pv|pv|pv|pv,0.0,6,0,4,0
3919761,pv|pv|pv|pv|pv,0.0,1,8,4,0
3927253,pv|pv|cart|pv|pv,0.0,2,33,1,0
3945782,pv|pv|pv|pv|pv,0.0,9,0,1,0
3965819,pv|pv|buy|pv|pv,0.0,0,1,1,0
3987745,pv|pv|pv|pv|pv,0.0,1,0,7,0
4053567,pv|pv|pv|pv|pv,0.0,27,3,9,0
4060646,pv|pv|pv|pv|pv,15.0,1,24,5,1
4076820,pv|pv|pv|pv|pv,165.0,0,11,11,1
4077888,pv|pv|pv|pv|fav,0.0,20,6,15,1
4082863,pv|pv|pv|pv|pv,0.0,36,9,4,1
4088842,pv|pv|pv|pv|pv,0.0,2,13,13,1
4095217,pv|pv|pv|pv|pv,0.0,47,3,3,1
4102557,pv|pv|pv|pv|pv,105.0,2,159,10,1
4102766,pv|pv|pv|pv|pv,0.0,0,0,0,0
4110055,pv|pv|pv|pv|pv,0.0,0,27,7,0
4110672,pv|pv|pv|pv|pv,0.0,0,20,1,0
4120403,pv|pv|pv|pv|pv,60.0,50,147,83,1
4120881,pv|pv|pv|pv|pv,0.0,0,0,0,0
4137745,pv|pv|pv|pv|pv,0.0,31,61,22,1
4140926,pv|pv|pv|pv|pv,0.0,28,20,7,1
4146900,pv|pv|pv|pv|pv,0.0,0,191,21,1
4164164,pv|pv|pv|pv|pv,0.0,11,3,3,0
4164359,pv|pv|pv|pv|pv,0.0,0,67,2,0
4174826,pv|pv|pv|fav|pv,0.0,116,10,0,1
4186010,pv|pv|pv|pv|fav,345.0,4,37,3,1
4195964,pv|pv|pv|pv|pv,0.0,5,63,18,1
4225412,pv|pv|pv|cart|pv,15.0,1,146,28,1
4231989,pv|pv|pv|pv|pv,0.0,1,22,7,1
4232880,pv|pv|pv|pv|pv,330.0,8,1,0,0
4261260,pv|pv|pv|pv|pv,0.0,108,22,0,0
4271718,pv|pv|pv|pv|pv,570.0,79,12,14,1
4283186,pv|cart|pv|pv|pv,0.0,2,21,1,0
4286657,pv|pv|pv|pv|pv,0.0,4,87,3,1
4338344,pv|pv|pv|pv|pv,225.0,20,0,5,0
4346474,pv|pv|pv|pv|pv,615.0,0,0,0,0
4361577,pv|pv|pv|pv|cart,0.0,14,263,60,1
4364079,pv|pv|pv|pv|pv,105.0,194,72,49,1
4374427,buy|buy|cart|pv|pv,0.0,2,47,3,1
4381858,pv|pv|pv|pv|pv,165.0,5,12,8,0
4387844,pv|pv|pv|pv|pv,0.0,3,20,5,0
4445837,pv|pv|pv|pv|pv,0.0,0,23,5,1
4496414,pv|pv|pv|pv|pv,0.0,3,7,7,1
4499782,pv|pv|pv|pv|pv,405.0,0,0,0,0
4524349,pv|pv|pv|pv|pv,0.0,2,90,11,1
4561993,pv|pv|pv|pv|pv,0.0,74,20,3,0
4567220,pv|pv|pv|pv|pv,0.0,0,0,2,0
4573013,pv|pv|pv|pv|pv,0.0,3,11,9,0
4579794,pv|pv|pv|pv|pv,15.0,14,41,15,1
4597166,pv|pv|pv|pv|pv,0.0,1,12,4,1
4642457,pv|pv|pv|pv|pv,0.0,4,32,11,0
4644312,pv|pv|pv|pv|pv,240.0,0,1,1,1
4688795,pv|pv|pv|pv|pv,0.0,0,0,1,0
4710740,pv|pv|pv|pv|pv,225.0,0,13,3,1
4716732,pv|pv|pv|pv|pv,0.0,19,1,5,0
4725269,pv|pv|pv|pv|pv,0.0,0,77,10,1
4729352,pv|pv|pv|pv|pv,0.0,8,1,2,1
4741469,pv|pv|pv|pv|pv,75.0,0,0,0,0
4742459,pv|pv|pv|pv|fav,450.0,67,39,1,0
4744483,pv|pv|pv|pv|pv,0.0,1,14,0,0
4752206,buy|cart|pv|buy|cart,0.0,5,2,7,1
4755159,pv|pv|pv|pv|pv,0.0,0,7,3,0
4763932,pv|pv|pv|pv|pv,0.0,0,4,1,0
4772544,pv|pv|pv|pv|pv,0.0,0,15,1,0
4780516,pv|pv|pv|pv|pv,0.0,0,0,0,0
4790160,pv|pv|pv|pv|pv,0.0,0,23,9,1
4839432,pv|pv|pv|fav|pv,0.0,48,0,0,1
4839533,pv|pv|pv|cart|pv,0.0,0,13,6,1
4839961,pv|pv|pv|pv|pv,0.0,13,1,1,0
4869558,pv|pv|pv|pv|pv,0.0,0,2,1,1
4903043,pv|pv|pv|pv|pv,0.0,34,87,13,1
4917287,pv|buy|pv|pv|pv,0.0,0,4,3,0
4919496,pv|pv|pv|pv|pv,180.0,0,0,0,0
4921070,pv|pv|cart|pv|pv,0.0,0,4,3,0
4922072,pv|pv|pv|pv|pv,975.0,1,0,1,1
4960300,pv|pv|pv|pv|pv,0.0,1,29,2,0
4977592,pv|pv|pv|pv|pv,0.0,2,28,0,0
4979200,pv|pv|pv|pv|pv,0.0,24,2,6,1
5020210,pv|pv|pv|pv|pv,60.0,13,45,27,1
5028667,pv|pv|pv|buy|pv,0.0,1,18,8,0
5051617,pv|pv|pv|pv|pv,0.0,22,3,1,0
5057199,pv|pv|pv|pv|pv,0.0,1,0,0,0
5066694,pv|pv|pv|pv|pv,0.0,1,60,16,1
5091068,pv|pv|pv|pv|pv,0.0,0,3,7,0
5125563,pv|pv|pv|cart|cart,15.0,1,2,0,0
5137598,pv|pv|pv|pv|pv,0.0,0,1,2,0
5141057,pv|pv|pv|pv|pv,345.0,0,2,2,0
5154444,pv|pv|pv|pv|pv,15.0,34,1,8,0
5159022,pv|pv|pv|pv|pv,0.0,0,7,1,0
5179507,pv|cart|cart|pv|pv,15.0,0,17,4,1
5187945,pv|pv|buy|pv|pv,0.0,1,0,1,0
5189513,pv|pv|pv|pv|pv,0.0,1,23,8,1
5196815,pv|pv|pv|pv|pv,30.0,1,4,6,1
5201714,cart|pv|pv|pv|pv,0.0,6,38,19,0
5223307,pv|pv|pv|pv|pv,0.0,14,7,4,0
5236221,pv|pv|pv|pv|pv,0.0,0,43,1,1
5240052,pv|pv|pv|pv|pv,0.0,0,1,0,0
5250412,pv|pv|pv|fav|pv,225.0,58,8,3,0
5255076,fav|fav|pv|fav|pv,0.0,13,0,0,0
5287432,pv|pv|pv|pv|pv,0.0,0,1,2,0
5307517,pv|pv|pv|pv|pv,0.0,0,6,3,0
5315279,pv|pv|pv|pv|pv,15.0,97,1311,22,1
5358079,pv|pv|pv|pv|pv,0.0,93,65,7,1
5392788,pv|pv|pv|pv|pv,2115.0,0,1,0,0
5396057,cart|cart|cart|cart|cart,15.0,26,58,7,1
5412158,pv|pv|pv|pv|buy,345.0,1,9,6,0
5424550,pv|fav|pv|pv|pv,15.0,138,109,53,1
5440164,pv|pv|pv|pv|pv,0.0,3,0,2,0
5451259,pv|pv|pv|pv|pv,720.0,1,0,4,0
5460550,pv|pv|pv|pv|pv,0.0,1,59,11,1
5466222,pv|pv|pv|pv|cart,0.0,0,15,5,0
5467215,pv|pv|buy|pv|pv,0.0,1,13,14,1
5478302,pv|pv|pv|pv|pv,0.0,1,60,8,1
5481789,pv|pv|pv|pv|pv,0.0,0,23,2,0
5483686,fav|pv|pv|pv|pv,0.0,3,0,1,1
5485673,pv|pv|pv|pv|pv,0.0,1,17,7,1
5586064,pv|pv|pv|pv|pv,0.0,24,22,14,1
5616094,pv|pv|pv|pv|pv,0.0,0,4,3,0
5624123,pv|pv|pv|pv|pv,0.0,0,40,5,0
5626464,pv|pv|pv|pv|pv,0.0,25,3,3,1
5680285,pv|pv|pv|pv|pv,0.0,9,3,2,0
5686843,pv|pv|pv|pv|pv,0.0,2,5,15,0
5694160,pv|pv|pv|pv|pv,0.0,156,71,15,1
5698511,pv|pv|pv|pv|pv,0.0,66,10,6,0
5699616,pv|pv|pv|pv|pv,75.0,0,0,2,0
5710300,pv|pv|pv|pv|pv,0.0,1,9,8,0
5719706,pv|buy|pv,0.0,0,0,0,0
5740730,pv|pv|pv|pv|pv,0.0,1,16,5,1
5778458,pv|pv|pv|pv|pv,0.0,54,0,1,0
5786548,pv|pv|pv|pv|pv,0.0,1,0,2,0
5786807,pv|pv|pv|pv|pv,0.0,19,18,11,0
5798831,pv|pv|pv|pv|pv,0.0,0,13,3,0
5803579,pv|pv|pv|pv|cart,0.0,0,2,1,0
5837961,pv|pv|pv|pv|pv,0.0,153,14,10,1
5838287,pv|pv|pv|pv|buy,195.0,0,53,3,0
5860001,pv|cart|pv|pv|pv,0.0,90,18,11,1
5865371,pv|pv|pv|pv|pv,0.0,8,8,8,1
5875750,pv|pv|pv|cart|pv,0.0,0,28,5,0
5938241,pv|pv|pv|buy|pv,0.0,12,159,24,1
5942869,pv|pv|pv|pv|pv,1215.0,13,25,2,1
5950556,pv|pv|pv|pv|pv,0.0,0,46,16,1
6014239,pv|pv|pv|pv|pv,0.0,1,10,0,0
6015031,pv|pv|pv|pv|pv,0.0,3,28,2,0
6018416,pv|pv|pv|pv|pv,0.0,51,5,8,1
6038861,pv|pv|pv|pv|pv,0.0,1,0,0,0
6049053,pv|pv|pv|pv|pv,0.0,58,26,7,0
6062947,pv|pv|pv|pv|pv,0.0,0,2,1,1
6064746,pv|pv|pv|pv|pv,0.0,19,6,5,0
